   #FPRO  FPROA   GMAX  CTEMP  X NUCLEUS  FSON      XEQ    XEQ50   FTO      XTO     VOLF    X44      XTO400       SHEART     DIFFT    Bs Ms
   -771. -1126. -1507.  380.  0.23E-04  -1491.   0.1387   0.1215   -47.  0.0462   0.6828 0.000E+00  0.0339  3   0.17E+02   0.12E+10 307 84
   -748. -1099. -1477.  385.  0.26E-04  -1460.   0.1372   0.1198   -28.  0.0457   0.6793 0.000E+00  0.0332  3   0.16E+02   0.68E+09 307 84
   -727. -1073. -1446.  390.  0.29E-04  -1431.   0.1357   0.1181   -11.  0.0451   0.6758 0.000E+00  0.0326  3   0.14E+02   0.37E+09 307 84
   -706. -1048. -1417.  395.  0.32E-04  -1402.   0.1342   0.1163     6.  0.0446   0.6722 0.000E+00  0.0320  3   0.13E+02   0.21E+09 307 84
   -685. -1022. -1388.  400.  0.35E-04  -1372.   0.1327   0.1146     0.  0.0440   0.6685 0.000E+00  0.0315  3   0.12E+02   0.12E+09 307 84
   -664.  -997. -1364.  405.  0.39E-04  -1343.   0.1312   0.1129     0.  0.0434   0.6646 0.000E+00  0.0309  3   0.11E+02   0.65E+08 307 84
   -643.  -971. -1329.  410.  0.43E-04  -1314.   0.1297   0.1111     0.  0.0428   0.6607 0.000E+00  0.0303  3   0.11E+02   0.38E+08 307 84
   -622.  -946. -1299.  415.  0.48E-04  -1284.   0.1281   0.1093     0.  0.0422   0.6567 0.000E+00  0.0298  3   0.10E+02   0.23E+08 307 84
   -602.  -921. -1270.  420.  0.53E-04  -1255.   0.1266   0.1075     0.  0.0417   0.6525 0.000E+00  0.0292  3   0.99E+01   0.13E+08 307 84
   -582.  -896. -1240.  425.  0.58E-04  -1226.   0.1250   0.1057     0.  0.0411   0.6482 0.000E+00  0.0287  3   0.95E+01   0.80E+07 307 84
   -562.  -871. -1215.  430.  0.64E-04  -1197.   0.1235   0.1039     0.  0.0404   0.6437 0.000E+00  0.0281  3   0.91E+01   0.48E+07 307 84
   -542.  -846. -1182.  435.  0.70E-04  -1168.   0.1219   0.1020     0.  0.0398   0.6391 0.000E+00  0.0276  3   0.89E+01   0.30E+07 307 84
   -522.  -822. -1152.  440.  0.77E-04  -1138.   0.1203   0.1002     0.  0.0392   0.6343 0.000E+00  0.0270  3   0.87E+01   0.18E+07 307 84
   -503.  -797. -1130.  445.  0.84E-04  -1109.   0.1187   0.0983     0.  0.0386   0.6294 0.000E+00  0.0265  3   0.83E+01   0.11E+07 307 84
   -483.  -773. -1095.  450.  0.92E-04  -1080.   0.1171   0.0964     0.  0.0379   0.6243 0.000E+00  0.0259  3   0.84E+01   0.73E+06 307 84
   -464.  -748. -1064.  455.  0.10E-03  -1051.   0.1154   0.0945     0.  0.0373   0.6190 0.000E+00  0.0253  3   0.85E+01   0.47E+06 307 84
   -445.  -724. -1035.  460.  0.11E-03  -1022.   0.1138   0.0926     0.  0.0366   0.6135 0.000E+00  0.0248  3   0.85E+01   0.31E+06 307 84
   -426.  -700. -1005.  465.  0.12E-03   -992.   0.1122   0.0906     0.  0.0360   0.6078 0.000E+00  0.0243  3   0.86E+01   0.20E+06 307 84
   -408.  -676.  -983.  470.  0.13E-03   -963.   0.1105   0.0886     0.  0.0353   0.6019 0.000E+00  0.0238  3   0.84E+01   0.13E+06 307 84
   -389.  -652.  -949.  475.  0.14E-03   -934.   0.1088   0.0866     0.  0.0346   0.5957 0.000E+00  0.0232  3   0.88E+01   0.90E+05 307 84
   -371.  -629.  -918.  480.  0.15E-03   -905.   0.1071   0.0846     0.  0.0340   0.5893 0.000E+00  0.0227  3   0.92E+01   0.61E+05 307 84
   -353.  -605.  -888.  485.  0.17E-03   -876.   0.1054   0.0826     0.  0.0334   0.5826 0.000E+00  0.0222  3   0.96E+01   0.42E+05 307 84
   -335.  -582.  -861.  490.  0.18E-03   -846.   0.1037   0.0805     0.  0.0328   0.5757 0.000E+00  0.0216  3   0.99E+01   0.29E+05 307 84
   -318.  -559.  -833.  495.  0.20E-03   -817.   0.1019   0.0784     0.  0.0322   0.5684 0.000E+00  0.0210  3   0.10E+02   0.20E+05 307 84
   -301.  -536.  -800.  500.  0.21E-03   -788.   0.1002   0.0763     0.  0.0316   0.5608 0.000E+00  0.0205  3   0.11E+02   0.15E+05 307 84
   -284.  -513.  -771.  505.  0.23E-03   -759.   0.0984   0.0742     0.  0.0310   0.5529 0.000E+00  0.0199  3   0.12E+02   0.11E+05 307 84
   -267.  -490.  -742.  510.  0.25E-03   -730.   0.0966   0.0720     0.  0.0304   0.5446 0.000E+00  0.0193  3   0.13E+02   0.78E+04 307 84
   -251.  -467.  -715.  515.  0.27E-03   -701.   0.0948   0.0698     0.  0.0298   0.5359 0.000E+00  0.0187  3   0.14E+02   0.57E+04 307 84
   -235.  -445.  -689.  520.  0.29E-03   -672.   0.0930   0.0676     0.  0.0292   0.5268 0.000E+00  0.0181  3   0.15E+02   0.42E+04 307 84
   -219.  -423.  -653.  525.  0.31E-03   -642.   0.0912   0.0653     0.  0.0285   0.5171 0.000E+00  0.0175  3   0.18E+02   0.33E+04 307 84
   -203.  -401.  -624.  530.  0.33E-03   -613.   0.0893   0.0630     0.  0.0279   0.5070 0.000E+00  0.0169  3   0.20E+02   0.26E+04 307 84
   -188.  -379.  -595.  535.  0.36E-03   -584.   0.0874   0.0607     0.  0.0274   0.4964 0.000E+00  0.0162  3   0.23E+02   0.20E+04 307 84
   -173.  -357.  -566.  540.  0.38E-03   -555.   0.0855   0.0583     0.  0.0268   0.4852 0.000E+00  0.0156  3   0.27E+02   0.16E+04 307 84
   -159.  -336.  -537.  545.  0.41E-03   -526.   0.0836   0.0559     0.  0.0262   0.4733 0.000E+00  0.0149  3   0.32E+02   0.13E+04 307 84
   -145.  -315.  -508.  550.  0.44E-03   -497.   0.0817   0.0535     0.  0.0257   0.4607 0.000E+00  0.0143  3   0.39E+02   0.11E+04 307 84
   -131.  -294.  -479.  555.  0.47E-03   -468.   0.0797   0.0510     0.  0.0251   0.4474 0.000E+00  0.0136  3   0.47E+02   0.90E+03 307 84
   -118.  -273.  -450.  560.  0.50E-03   -439.   0.0778   0.0485     0.  0.0245   0.4332 0.000E+00  0.0129  3   0.59E+02   0.77E+03 307 84
   -106.  -253.  -421.  565.  0.54E-03   -410.   0.0758   0.0460     0.  0.0239   0.4181 0.000E+00  0.0123  3   0.74E+02   0.67E+03 307 84
    -93.  -232.  -393.  570.  0.57E-03   -381.   0.0737   0.0434     0.  0.0233   0.4020 0.000E+00  0.0116  3   0.96E+02   0.60E+03 307 84
    -82.  -212.  -365.  575.  0.61E-03   -352.   0.0717   0.0408     0.  0.0226   0.3847 0.000E+00  0.0109  3   0.13E+03   0.54E+03 307 84
