   #FPRO  FPROA   GMAX  CTEMP  X NUCLEUS  FSON      XEQ    XEQ50   FTO      XTO     VOLF    X44      XTO400       SHEART     DIFFT   
   -965. -1288. -1648.  390.  0.20E-04  -1629.   0.1406   0.1239  -402.  0.0492   0.7478 0.000E+00  0.0363  3   0.75E+01   0.22E+09
   -937. -1255. -1611.  395.  0.22E-04  -1593.   0.1389   0.1220  -376.  0.0484   0.7447 0.000E+00  0.0355  3   0.70E+01   0.12E+09
   -908. -1223. -1575.  400.  0.25E-04  -1557.   0.1371   0.1199  -349.  0.0477   0.7414 0.000E+00  0.0347  3   0.66E+01   0.70E+08
   -884. -1194. -1549.  405.  0.27E-04  -1525.   0.1356   0.1181  -327.  0.0470   0.7385 0.000E+00  0.0340  3   0.60E+01   0.39E+08
   -861. -1168. -1515.  410.  0.30E-04  -1497.   0.1341   0.1165  -308.  0.0464   0.7356 0.000E+00  0.0334  3   0.57E+01   0.23E+08
   -838. -1142. -1485.  415.  0.33E-04  -1468.   0.1326   0.1148  -288.  0.0458   0.7327 0.000E+00  0.0328  3   0.53E+01   0.13E+08
   -816. -1116. -1457.  420.  0.37E-04  -1439.   0.1311   0.1130  -269.  0.0452   0.7296 0.000E+00  0.0322  3   0.50E+01   0.77E+07
   -794. -1090. -1427.  425.  0.41E-04  -1410.   0.1296   0.1113  -249.  0.0446   0.7265 0.000E+00  0.0316  3   0.47E+01   0.46E+07
   -771. -1064. -1402.  430.  0.45E-04  -1381.   0.1281   0.1096  -230.  0.0440   0.7233 0.000E+00  0.0310  3   0.44E+01   0.27E+07
   -749. -1039. -1370.  435.  0.49E-04  -1353.   0.1266   0.1078  -211.  0.0434   0.7200 0.000E+00  0.0304  3   0.43E+01   0.16E+07
   -727. -1013. -1340.  440.  0.54E-04  -1324.   0.1250   0.1060  -191.  0.0428   0.7166 0.000E+00  0.0299  3   0.41E+01   0.10E+07
   -706.  -988. -1312.  445.  0.59E-04  -1295.   0.1235   0.1042  -172.  0.0422   0.7131 0.000E+00  0.0293  3   0.40E+01   0.62E+06
   -684.  -962. -1283.  450.  0.65E-04  -1266.   0.1219   0.1024  -152.  0.0416   0.7094 0.000E+00  0.0288  3   0.38E+01   0.39E+06
   -662.  -937. -1258.  455.  0.70E-04  -1238.   0.1204   0.1006  -133.  0.0409   0.7057 0.000E+00  0.0282  3   0.37E+01   0.24E+06
   -641.  -912. -1225.  460.  0.77E-04  -1209.   0.1188   0.0988  -114.  0.0403   0.7018 0.000E+00  0.0277  3   0.36E+01   0.16E+06
   -620.  -887. -1196.  465.  0.84E-04  -1180.   0.1172   0.0969   -94.  0.0396   0.6977 0.000E+00  0.0271  3   0.36E+01   0.10E+06
